,eb,eblc,metric,value,model,tfe,data,te_metric,te
47,0.03,pmc,mae,0.325659841299057,informer,0.15032678153521678,weather,rse,0.3109407126903534
47,0.03,pmc,mae,0.325659841299057,informer,0.15032678153521678,weather,corr,0.950429379940033
48,0.03,pmc,mae,0.3444172590970993,nbeats,0.17439771326229042,weather,mae,4.08013391494751
48,0.03,pmc,mae,0.3444172590970993,nbeats,0.17439771326229042,weather,rmse,5.060812950134277
48,0.03,pmc,mae,0.3444172590970993,nbeats,0.17439771326229042,weather,nrmse,0.0473415628075599
48,0.03,pmc,mae,0.3444172590970993,nbeats,0.17439771326229042,weather,rse,0.3109407126903534
48,0.03,pmc,mae,0.3444172590970993,nbeats,0.17439771326229042,weather,corr,0.950429379940033
49,0.03,pmc,mae,0.3713769018650055,transformer,0.1636202315625583,weather,mae,4.08013391494751
49,0.03,pmc,mae,0.3713769018650055,transformer,0.1636202315625583,weather,rmse,5.060812950134277
49,0.03,pmc,mae,0.3713769018650055,transformer,0.1636202315625583,weather,nrmse,0.0473415628075599
49,0.03,pmc,mae,0.3713769018650055,transformer,0.1636202315625583,weather,rse,0.3109407126903534
49,0.03,pmc,mae,0.3713769018650055,transformer,0.1636202315625583,weather,corr,0.950429379940033
50,0.0,swing,mae,0.2785204350948334,dlinear,0.0,weather,rmse,0.0
50,0.0,swing,mae,0.2785204350948334,dlinear,0.0,weather,mae,0.0
50,0.0,swing,mae,0.2785204350948334,dlinear,0.0,weather,nrmse,0.0
50,0.0,swing,mae,0.2785204350948334,dlinear,0.0,weather,rse,0.0
50,0.0,swing,mae,0.2785204350948334,dlinear,0.0,weather,corr,1.0
51,0.0,swing,mae,0.2593704909086227,gru,0.0,weather,rmse,0.0
51,0.0,swing,mae,0.2593704909086227,gru,0.0,weather,mae,0.0
51,0.0,swing,mae,0.2593704909086227,gru,0.0,weather,nrmse,0.0
51,0.0,swing,mae,0.2593704909086227,gru,0.0,weather,rse,0.0
51,0.0,swing,mae,0.2593704909086227,gru,0.0,weather,corr,1.0
52,0.0,swing,mae,0.2757408171892166,informer,0.0,weather,rmse,0.0
52,0.0,swing,mae,0.2757408171892166,informer,0.0,weather,mae,0.0
52,0.0,swing,mae,0.2757408171892166,informer,0.0,weather,nrmse,0.0
52,0.0,swing,mae,0.2757408171892166,informer,0.0,weather,rse,0.0
52,0.0,swing,mae,0.2757408171892166,informer,0.0,weather,corr,1.0
53,0.0,swing,mae,0.2846247255802154,nbeats,0.0,weather,rmse,0.0
53,0.0,swing,mae,0.2846247255802154,nbeats,0.0,weather,mae,0.0
53,0.0,swing,mae,0.2846247255802154,nbeats,0.0,weather,nrmse,0.0
53,0.0,swing,mae,0.2846247255802154,nbeats,0.0,weather,rse,0.0
53,0.0,swing,mae,0.2846247255802154,nbeats,0.0,weather,corr,1.0
54,0.0,swing,mae,0.3085525184869766,transformer,0.0,weather,rmse,0.0
54,0.0,swing,mae,0.3085525184869766,transformer,0.0,weather,mae,0.0
54,0.0,swing,mae,0.3085525184869766,transformer,0.0,weather,nrmse,0.0
54,0.0,swing,mae,0.3085525184869766,transformer,0.0,weather,rse,0.0
54,0.0,swing,mae,0.3085525184869766,transformer,0.0,weather,corr,1.0
55,0.01,swing,mae,0.2848276048898697,dlinear,0.022143815019176324,weather,mae,1.8919655084609983
55,0.01,swing,mae,0.2848276048898697,dlinear,0.022143815019176324,weather,rmse,2.277822971343994
55,0.01,swing,mae,0.2848276048898697,dlinear,0.022143815019176324,weather,nrmse,0.0213079806417226
55,0.01,swing,mae,0.2848276048898697,dlinear,0.022143815019176324,weather,rse,0.1399514228105545
55,0.01,swing,mae,0.2848276048898697,dlinear,0.022143815019176324,weather,corr,0.9904115796089172
56,0.01,swing,mae,0.2732486575841903,gru,0.05078951456986259,weather,mae,1.8919655084609983
56,0.01,swing,mae,0.2732486575841903,gru,0.05078951456986259,weather,rmse,2.277822971343994
56,0.01,swing,mae,0.2732486575841903,gru,0.05078951456986259,weather,nrmse,0.0213079806417226
56,0.01,swing,mae,0.2732486575841903,gru,0.05078951456986259,weather,rse,0.1399514228105545
56,0.01,swing,mae,0.2732486575841903,gru,0.05078951456986259,weather,corr,0.9904115796089172
57,0.01,swing,mae,0.2821657359600067,informer,0.022770017588885236,weather,mae,1.8919655084609983
